SUBURB,BOX-CODE,STR-CODE,AREA,
AALWYNFLEUR,,6670,RIVERSDALE,
AANDRUS,,9301,BLOEMFONTEIN,
ABAPHEHLI,4126,,DOONSIDE,
ABBOTSDALE,,7300,MALMESBURY,
ABBOTSFORD,5210,5241,EAST LONDON,
ABBOTSFORD,,2192,JOHANNESBURG,
ABBOTSPOORT,0608,,POTGIETERSRUS,
ABC,,6242,KWANOBUHLE,
ABEL,0884,0884,POLOKWANE,
ABERDEEN,6270,6270,ABERDEEN,
ABERDEEN TSP,6270,6270,ABERDEEN,
ABERDEEN DGD,6270,6270,ABERDEEN,
ACACIAVILLE,3370,3370,LADYSMITH,
ACKERVILLE,1039,1034,WITBANK,
ACORN,,3610,PINETOWN,
ACORNHOEK,1360,1360,NELSPRUIT,
ACTIVIA PARK,,1429,GERMISTON,
ACTON CABA,5400,5401,TSOMO,
ACTON HOMES,3352,,BERGVILLE,
ACTONVILLE,1506,1501,BENONI,
ACTONVILLE EXT 1,,1501,BENONI,
ACTONVILLE UIT 1,,1501,BENONI,
ACTONVILLE EXT 2,,1501,BENONI,
ACTONVILLE UIT 2,,1501,BENONI,
ACTONVILLE EXT 3,,1501,BENONI,
ACTONVILLE UIT 3,,1501,BENONI,
ACTONVILLE EXT 4,,1501,BENONI,
ACTONVILLE UIT 4,,1501,BENONI,
ACTONVILLE EXT 5,,1501,BENONI,
ACTONVILLE UIT 5,,1501,BENONI,
ACTONVILLE EXT 6,1506,1501,BENONI,
ACTONVILLE UIT 6,1506,1501,BENONI,
ADAMAYVIEW,,2571,KLERKSDORP,
ADAMS MISSION,4100,4110,AMANZIMTOTI,
ADCOCKVALE,6000,6001,PORT ELIZABETH,
ADCOCKVALE EXT,6055,6045,NEWTON PARK,
ADCOCKVALE UIT,6055,6045,NEWTON PARK,
ADDINGTON,,4001,DURBAN,
ADDNEY,0712,0712,POLOKWANE,
ADDO,6105,6105,ADDO,
ADELAIDE,5760,5760,ADELAIDE,
ADENDORP,6282,6282,ADENDORP,
ADKIN'S POST,5170,5170,TSOLO,
ADMINISTRATION BLOCK,,1431,KATLEHONG,
ADMINISTRASIE BLOK,,1431,KATLEHONG,
ADMIRALS HILL,,7798,STRANDFONTEIN,
ADRIAANSE,,7490,MATROOSFONTEIN,
ADVENT,5092,5092,MOUNT FRERE,
AERORAND,1070,1055,MIDDELBURG,
AERORAND WEST,1070,1055,MIDDELBURG,
AERORAND-WES,1070,1055,MIDDELBURG,
AEROTON,2013,2190,JOHANNESBURG,
AEROVILLE,,5850,SOMERSET EAST,
AFGHANISTAN EXT 25,2280,2280,EVANDER,
AFGHANISTAN UIT 25,2280,2280,EVANDER,
AFGUNS,0534,0534,ELLISRAS,
AFRICA,4310,4309,INANDA,
AFRICAN JEWEL,0700,0699,POLOKWANE,
AGAVIA,,1739,KRUGERSDORP,
AGGENEYS,8893,,SPRINGBOK,
AGINCOURT,1368,,XIMHUNGWE,
AGISANANG,2760,2760,SANNIESHOF,
AGNES REST,5435,,DORDRECHT,
AGTER-PAARL,7630,,PAARL,
AGULHAS,7287,7287,BREDASDORP,
AIKEN STREET,4251,,PORT SHEPSTONE,
AIKENSTRAAT,4251,,PORT SHEPSTONE,
AIRDLIN,2157,,JOHANNESBURG,
AIRFIELD,,1501,BENONI,
AIRLIE,,7806,CONSTANTIA,
AIRPORT CITY,,7490,MATROOSFONTEIN,
LUGHAWE STAD,,7490,MATROOSFONTEIN,
AIRPORT INDUSTRIA,,7490,MATROOSFONTEIN,
LUGHAWE INDUSTRIA,,7490,MATROOSFONTEIN,
AKASIA,,0601,POTGIETERSRUS,
AKASIA,0118,0182,PRETORIA,
AKASIA EXT 2,,0182,PRETORIA,
AKASIA UIT 2,,0182,PRETORIA,
AKASIA PARK,,8660,KEIMOES,
AKASIAPARK,,8660,KEIMOES,
AKASIAPARK,,7460,GOODWOOD,
AKASIE PARK,2520,,POTCHEFSTROOM,
AKASIEPARK,2520,,POTCHEFSTROOM,
ALABAMA,2577,2577,KLERKSDORP,
ALABAMA EXT 2,2577,2577,KLERKSDORP,
ALABAMA UIT 2,2577,2577,KLERKSDORP,
ALABAMA EXT 3,2577,2577,KLERKSDORP,
ALABAMA UIT 3,2577,2577,KLERKSDORP,
ALAN MANOR,,2091,JOHANNESBURG,
ALAN MANOR EXT 2,,2091,JOHANNESBURG,
ALAN MANOR UIT 2,,2091,JOHANNESBURG,
ALASKA,,0122,MAMELODI,
ALBANY,,3610,PINETOWN,
ALBEMARLE,1410,1401,GERMISTON,
ALBEMARLE EXT 1,,1401,GERMISTON,
ALBEMARLE UIT 1,,1401,GERMISTON,
ALBEMARLE EXT 2,,1401,GERMISTON,
ALBEMARLE UIT 2,,1401,GERMISTON,
ALBERANTE,,1449,ALBERTON,
ALBERANTE EXT 1,,1449,ALBERTON,
ALBERANTE UIT 1,,1449,ALBERTON,
ALBERT LUTHULI,9323,9323,BLOEMFONTEIN,
ALBERTINIA,6695,6695,ALBERTINIA,
ALBERTON,1450,1449,JOHANNESBURG,
ALBERTON EXT 28,,1449,ALBERTON,
ALBERTON UIT 28,,1449,ALBERTON,
ALBERTON NORTH,1456,1449,ALBERTON,
ALBERTON-NOORD,1456,1449,ALBERTON,
ALBERTSDAL,1448,1448,ALBERTON,
ALBERTSDAL EXT 17,,1448,ALBERTON,
ALBERTSDAL UIT 17,,1448,ALBERTON,
ALBERTSDAL EXT 18,,1448,ALBERTON,
ALBERTSDAL UIT 18,,1448,ALBERTON,
ALBERTSDAL EXT 22,,1448,ALBERTON,
ALBERTSDAL UIT 22,,1448,ALBERTON,
ALBERTSDAL EXT 30,1448,1448,ALBERTON,
ALBERTSDAL UIT 30,1448,1448,ALBERTON,
ALBERTSDAL EXT 6,,1448,ALBERTON,
ALBERTSDAL UIT 6,,1448,ALBERTON,
